Grocery_Stores_1mile,Food_Outlets_1mile,Educational_Institutions_1mile,Residential_Housing_1mile,Commercial_Housing_1mile,Fuel_Stations_Car_Wash_1mile,Hospitals_3miles,Apparels_3miles,Tourist_Destinations_5miles,Hotels_5miles,Airports_5miles,Latitude,Longitude
2,7,0,0,2,1,1,0,0,0,0,37.0469,-93.3024
1,1,0,0,0,2,1,0,0,0,0,37.0427,-93.2835
1,1,0,0,1,1,0,2,0,0,7,37.0049,-93.2065
1,1,1,0,0,1,2,0,0,0,5,37.0709,-93.2319
4,11,16,32,55,6,4,1,1,1,1,35.9443,-95.6497
