Grocery Stores,Food Outlets,Tourist Destinations,Hotels,Educational Institutions,Hospitals,Airports,Residential Housing Density,Commercial Housing Density,Fuel Stations & Car Wash,Apparels,Height Restrictor,Border Zone,Public Transportation,latitude,longitude,radius_miles
0,28,0,0,1,0,0,11,7,0,0,0,0,0,42.9447374,-83.6632723,3
0,0,0,0,1,0,0,0,38,0,0,0,0,0,42.9573737,-83.8507596,3
0,41,2,2,2,10,6,123,49,0,0,0,0,0,43.6343614,-84.2265574,3
0,33,1,0,2,2,1,376,26,0,0,0,0,0,43.5758772,-84.766952,3
0,0,0,0,0,0,0,0,9,0,0,0,0,0,43.4817568,-84.0905616,3
0,34,0,1,2,2,0,57,23,0,0,0,0,0,43.4808328,-83.9947178,3
0,41,0,1,3,10,3,51,76,0,0,0,0,0,43.4514078,-83.9759809,3
0,3,1,0,0,1,0,0,0,0,0,0,0,0,43.4074238,-84.6066292,3
0,25,0,0,4,0,0,26,10,0,0,0,0,0,43.4373162,-84.0300812,3
0,36,0,0,3,9,3,51,72,0,0,0,0,0,43.4362083,-83.9748836,3
0,1,0,0,2,0,0,0,0,0,0,0,0,0,43.4167653,-84.1301735,3
0,16,0,0,1,8,3,25,7,0,0,0,0,0,43.4084621,-83.991809,3
0,45,0,1,3,10,3,51,78,0,0,0,0,0,43.4440901,-83.9764547,3
0,10,0,0,2,8,3,44,56,0,0,0,0,0,43.4273242,-83.9406431,3
0,18,0,0,2,0,0,12,3,0,0,0,0,0,43.4163352,-84.070953,3
0,23,0,0,4,1,0,517,10,0,0,0,0,0,42.2960565,-83.3497555,3
0,51,3,0,3,1,1,775,120,0,0,0,0,0,42.3538615,-83.3511098,3
0,47,0,6,2,1,1,1382,20,0,0,0,0,0,42.3088066,-83.423701,3
0,52,3,0,3,1,1,1083,79,0,0,0,0,0,42.3530867,-83.3866584,3
0,35,0,2,3,1,0,1091,10,0,0,0,0,0,42.3026949,-83.3890608,3
0,78,2,3,3,3,8,121,82,0,0,0,0,0,44.7633613,-85.5876256,3
0,5,0,0,2,1,1,1,0,0,0,0,0,0,43.3798802,-84.6663807,3
0,17,0,0,3,0,4,32,7,0,0,0,0,0,41.8892056,-84.0333512,3
0,182,7,18,14,8,4,1919,184,0,0,0,0,0,42.2815404,-83.7432378,3
0,5,0,0,3,0,0,101,4,0,0,0,0,0,42.0691995,-83.2516417,3
0,23,11,4,2,0,0,36,18,0,0,0,0,0,42.5330928,-83.5013324,3
0,28,6,0,3,0,1,3,8,0,0,0,0,0,42.5693262,-83.4750549,3
0,19,3,0,0,0,9,5,23,0,0,0,0,0,42.6440398,-83.4438523,3
0,42,0,0,2,1,2,179,31,0,0,0,0,0,42.5380147,-82.9691852,3
0,1,0,0,1,0,1,2,0,0,0,0,0,0,42.7206814,-82.7495758,3
0,35,3,0,2,1,0,25,8,0,0,0,0,0,42.6389813,-83.3549594,3
0,7,0,1,1,0,1,48,8,0,0,0,0,0,42.6752751,-82.7696231,3
0,28,0,0,2,1,0,4,6,0,0,0,0,0,42.6651667,-83.3474847,3
0,12,0,1,0,0,0,46,10,0,0,0,0,0,42.688684,-82.8228681,3
0,16,0,0,2,0,1,1,6,0,0,0,0,0,42.5916428,-83.4816712,3
0,34,0,0,2,0,9,6,21,0,0,0,0,0,42.6534273,-83.3865026,3
0,34,7,1,2,1,0,130,29,0,0,0,0,0,42.5508029,-83.4597005,3
0,11,36,0,2,1,8,112,6,0,0,0,0,0,42.6307838,-82.8596946,3
0,32,1,0,3,1,1,199,83,0,0,0,0,0,42.3574614,-83.2741332,3
0,10,0,0,1,0,0,8,1,0,0,0,0,0,42.5540373,-82.8535032,3
0,7,0,0,1,0,1,153,6,0,0,0,0,0,42.6858222,-82.9589197,3
