name,latitude,longitude,driving_distance,distance_to_nearest_motorway,traffic_aadt,grocery_stores,food_outlets,tourist_destinations,hotels,educational_institutions,hospitals,airports,residential_housing_density,commercial_housing_density,fuel_stations_and_car_wash,apparels,visits
Meijer,42.9109204,-85.62924,4.6,10,12235,109,162,0,6,99,38,8,329,216,75,26,48907
Meijer,42.969937,-85.7786065,4,9,2486,39,51,1,1,44,7,2,216,60,35,3,35264
Meijer,42.2340066,-83.6770729,4,8,18535,118,240,11,19,233,69,8,1633,241,58,76,54483
Meijer,42.5001128,-83.2823578,0.9,3,25548,166,165,5,1,160,58,6,782,400,88,42,40491
Meijer,42.4122461,-83.2528348,2.6,7,2380,306,81,2,0,192,77,5,722,288,189,16,32509
Meijer,42.4446792,-83.1192245,2.4,9,5676,327,190,39,2,232,80,2,963,237,210,34,43247
Meijer,42.2789819,-83.2040801,3.5,7,3057,284,195,2,6,160,117,3,944,178,165,29,44553
Meijer,42.4523698,-85.6601861,0.5,3,1429,17,13,0,0,11,3,3,22,13,11,0,35316
Meijer,44.7708506,-85.4771958,31.6,36,14134,13,11,9,1,5,2,2,57,2,7,0,25305
Meijer,44.7708506,-85.4771958,31.6,36,14134,13,11,9,1,5,2,2,57,2,7,0,25305
Meijer,44.7708506,-85.4771958,31.6,36,14134,13,11,9,1,5,2,2,57,2,7,0,25305
Meijer,44.7708506,-85.4771958,31.6,36,14134,13,11,9,1,5,2,2,57,2,7,0,25305
Meijer,45.0249741,-84.7233385,1.7,5,13096,20,17,0,1,10,4,3,0,4,16,0,26063
Meijer,44.2837106,-85.4050028,18.5,20,10388,18,18,1,0,13,5,2,1,4,15,1,35566
Meijer,43.614212,-84.7648504,0.5,2,1700,26,33,1,0,44,5,4,378,26,14,2,57981
Meijer,43.3983948,-84.6624102,1.2,4,2449,14,6,1,0,8,3,1,1,0,15,0,36899
Meijer,43.217321,-85.5792888,0.5,3,10001,10,4,0,0,7,1,2,4,33,7,0,32455
Meijer,42.5659498,-84.444688,6.1,8,1870,10,6,0,0,8,1,2,17,6,7,1,40197
Meijer,42.2712674,-84.4505632,3,6,19799,55,33,1,0,13,11,4,50,136,39,3,44553
Meijer,42.5551697,-84.8142953,0.5,2,26269,11,2,0,0,1,1,2,0,16,9,0,41163
Meijer,42.1439784,-83.2300745,0.9,4,12377,107,116,0,5,59,76,9,1419,47,62,44,37800
Meijer,42.773573,-84.4178103,0.8,5,15522,45,76,4,3,92,16,0,1123,169,19,12,28066
Meijer,42.2320789,-83.4831806,0.8,4,1786,43,26,0,7,23,8,4,824,25,31,3,54483
Meijer,42.0262862,-86.5160359,3.5,6,2091,24,12,0,0,10,5,1,92,0,19,0,39779
Meijer,42.2003355,-83.2613078,3.6,9,1616,187,135,0,6,80,114,15,1468,97,109,53,38624
Meijer,42.286165,-83.8419384,5.6,9,16459,42,96,2,4,38,12,0,1126,89,20,15,39527
Meijer,42.4356869,-83.4371012,0.4,2,641,90,189,12,9,102,46,4,2115,308,57,72,39149
Meijer,42.239608,-83.766545,0.5,3,8120,96,231,9,19,207,48,7,2281,270,39,75,54483
Meijer,42.323266,-85.5153914,12.3,17,4852,44,41,2,0,49,5,6,236,54,27,1,43886
Meijer,42.2985975,-85.6795672,0.8,4,19078,41,63,2,1,90,6,1,869,59,24,3,49673
Meijer,45.0254877,-84.7243762,1.8,5,13096,20,17,0,1,10,4,3,0,4,16,0,26063
Meijer,43.5827165,-83.8388917,6.4,14,16568,33,37,0,0,3,7,5,4,12,24,2,28914
Meijer,43.6218004,-83.9341727,0.5,3,4973,36,43,0,0,7,7,1,2,13,28,2,37035
Meijer,43.4179573,-84.0796051,8.3,18,6079,20,21,0,0,17,4,0,12,5,15,1,36270
Meijer,42.8462516,-85.6193955,0.9,4,25434,61,31,0,1,27,15,2,250,102,50,22,48258
Meijer,42.9967323,-85.5942082,1.9,5,13114,72,156,0,3,114,43,7,220,114,44,14,32863
Meijer,43.8237466,-83.0007968,63.1,73,1920,11,6,0,0,6,1,4,17,1,9,2,18029
Meijer,42.6434377,-83.2060397,2.6,6,24642,87,104,1,3,119,47,5,257,136,59,17,25467
Meijer,42.4977493,-83.5411911,1.2,5,16872,40,82,14,4,43,22,5,121,82,28,69,28511
Meijer,42.6384221,-83.7442177,0.6,3,7107,10,10,18,0,7,2,5,25,20,6,0,37147
Meijer,42.6344456,-83.1284868,4.9,10,102382,90,108,1,0,80,34,3,501,35,56,19,37147
Meijer,42.333412,-83.406013,2.2,6,23786,177,135,3,6,115,51,4,2333,142,111,11,40674
Meijer,42.263198,-85.1734044,1,4,927,45,15,3,1,38,7,4,134,42,29,1,42651
Meijer,42.9333975,-85.3746319,6.1,11,13105,8,1,1,0,4,1,4,0,1,9,0,28339
Meijer,42.9463032,-85.0773741,4.5,8,998,12,6,0,0,7,4,4,0,2,10,0,37515
Meijer,42.294587,-85.2360084,2.1,4,12932,55,18,4,1,41,14,6,174,44,38,1,49673
Meijer,42.2424882,-85.5873337,0.6,3,32726,82,112,3,2,121,15,6,1123,80,53,12,39187
Meijer,42.9159337,-85.532151,0.4,2,31137,42,64,1,3,41,7,5,249,139,29,16,48907
Meijer,42.8637909,-85.6811215,0.3,2,18131,82,69,0,2,46,21,1,218,44,60,33,43000
Meijer,42.738588,-84.741562,4.8,10,8902,21,20,1,5,5,7,2,202,43,15,2,38175
Meijer,42.8290801,-84.5371836,6.3,10,1035,22,23,1,2,18,2,6,270,42,13,13,44766
Meijer,42.8798547,-85.748607,9.4,14,28756,70,64,1,3,35,13,4,171,97,57,15,37958
Meijer,42.7197222,-84.4252778,17.2,22,6621,60,109,4,2,103,32,1,1301,220,25,7,47531
Meijer,43.1747604,-85.2776512,27.5,30,6135,13,3,0,0,4,2,2,36,4,13,0,45217
Meijer,42.9049568,-85.7948913,0.9,4,26636,49,73,1,1,41,8,4,229,102,38,15,42888
Meijer,42.6680054,-84.540846,0.3,2,19315,88,60,4,1,90,37,4,540,319,41,13,48501
Meijer,42.8428593,-85.863496,14.7,16,1808,25,14,0,0,27,1,4,97,48,18,0,48258
Meijer,42.7392458,-84.6236254,3.8,8,29597,86,81,8,8,72,26,7,691,435,45,26,38175
Meijer,43.0392583,-86.2175056,3.6,9,6133,24,37,1,0,12,5,4,96,5,17,0,36543
Meijer,42.7625,-84.5005555,0.4,2,11034,93,133,9,5,142,29,8,1403,379,45,28,48180
Meijer,42.1885773,-85.6039598,3.9,9,10984,33,50,2,1,37,7,7,323,19,22,9,40891
Meijer,42.255201,-84.3597991,0.3,2,5913,60,33,0,0,12,12,3,42,98,41,4,46699
