Grocery_Stores_1mile,Food_Outlets_1mile,Educational_Institutions_1mile,Residential_Housing_1mile,Commercial_Housing_1mile,Fuel_Stations_Car_Wash_1mile,Hospitals_3miles,Apparels_3miles,Tourist_Destinations_5miles,Hotels_5miles,Airports_5miles,Latitude,Longitude
5,35,11,8,1,4,17,0,4,3,7,42.9966672,-85.59439066
8,24,5,24,4,6,7,9,4,2,7,42.24244151,-85.58724579
10,3,1,3,1,7,2,1,0,5,4,42.08203304,-86.42199087
4,5,0,0,1,2,10,3,0,0,4,42.25473373,-84.35960021
7,28,1,4,1,6,4,1,2,1,1,41.63121453,-87.92778295
